 Hello, jx, ith, ith_tot, ith_max =         320          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         317          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         315           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         319           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         321           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         316          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         322           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         323          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         324           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         325          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         326           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         327          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         333           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         331          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         330           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         332          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         328           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         329           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         334           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         335           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         342          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         340           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         337          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         339          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         338          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         341           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         336          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         343          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         344           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         345          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         346          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         347           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         348           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         349          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         351           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         350           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         352          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         353           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         354           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         355           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         356          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         359          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         358          15          20          20
